         1.267177499          1.459304710          1.800000109          1.090702723          1.100435051          1.100434280          1.083300053          1.082366074          1.082365820        120.583223213        179.999937756        107.762303074        111.761024481        111.761097396        104.122186956        102.716523095        102.716806332       -149.253249992       -179.999989373        119.360340893       -119.360357419         -0.000041218        120.076048149       -120.076174971 
         1.285151000          1.438507730          1.800000000          1.091133372          1.099176888          1.099176888          1.086847291          1.083240028          1.083240028        129.441724708         90.000000000        108.510735727        111.257250127        111.257250127        104.383240804        105.413824998        105.413824998        180.000000000        180.000000000        119.153143750       -119.153143750        180.000000000        119.560299617       -119.560299617 
         1.282466000          1.413338167          1.800000000          1.093543249          1.102649965          1.102649965          1.079424006          1.086447930          1.086447930        156.955257172         90.000000000        107.588819859        112.897257041        112.897257041        111.591067025        103.982741805        103.982741805          0.000000000        180.000000000        118.136039815       -118.136039815          0.000000000        121.269692904       -121.269692904 
         1.263534000          1.437005424          1.800000141          1.090570835          1.099575532          1.099575532          1.082866995          1.085076114          1.085076114        125.761205162        116.360404791        108.278004535        111.481190821        111.481190821        102.534197019        105.034669495        105.034669495        180.000000000        180.000000000        119.313767165       -119.313767165        180.000000000        119.644285887       -119.644285887 
         1.239733000          1.421260907          1.800000141          1.090981136          1.103356954          1.103356954          1.085464946          1.083815688          1.083815688        141.602214866        116.360404791        109.060779645        111.799118293        111.799118293        105.888482762        103.922459031        103.922459031          0.000000000        180.000000000        119.107887266       -119.107887266          0.000000000        120.359220283       -120.359220283 
         1.278059000          1.436496167          1.799999902          1.091086773          1.099373155          1.099373155          1.085101562          1.083860471          1.083860471        128.709267420         96.850840082        108.434679319        111.369444643        111.369444643        104.557307628        104.752085198        104.752085198        180.000000000        180.000000000        119.163528111       -119.163528111        180.000000000        119.894838615       -119.894838615 
         1.257557000          1.446276836          1.799999681          1.089954851          1.099462708          1.099462708          1.081527925          1.085026226          1.085026226        120.435331352        145.558496505        107.995812362        111.437457338        111.437457338         98.073395511        106.538082682        106.538082682        180.000000000        180.000000000        119.543385947       -119.543385947        180.000000000        118.662166940       -118.662166940 
         1.234771000          1.439950999          1.799999681          1.089752913          1.101906412          1.101906412          1.086267852          1.082616314          1.082616314        132.311027175        145.558496505        108.814866043        111.522457892        111.522457892        106.453605923        102.731286021        102.731286021          0.000000000        180.000000000        119.486559276       -119.486559276          0.000000000        120.421008288       -120.421008288 
         1.268062000          1.414122658          1.799999902          1.092871734          1.102889339          1.102889339          1.081392407          1.085545876          1.085545876        151.729073109         96.850840082        107.905948903        112.644176117        112.644176117        109.506217077        103.981441761        103.981441761          0.000000000        180.000000000        118.294289487       -118.294289487          0.000000000        120.946482039       -120.946482039 
         1.248727857          1.463046370          1.099999322          1.088663044          1.098768551          1.098768464          1.158231675          1.155418087          1.155417852        118.955690062        179.999940468        107.779393412        111.569231753        111.569245591        116.642298653        118.942438669        118.942403174       -129.581090825        179.999951010        119.323090900       -119.323107154         -0.000110689        118.024528964       -118.024563726 
         1.639239000          1.437720397          1.100000000          1.093171388          1.099717505          1.099717505          1.124782761          1.154075600          1.154075600        108.543063617         90.000000000        109.637397068        110.699610905        110.699610905        114.868339777        119.265486807        119.265486807        180.000000000        180.000000000        121.156122291       -121.156122291        180.000000000        124.273046442       -124.273046442 
         1.442023000          1.436927421          1.100000000          1.092743655          1.098397521          1.098397521          1.111761781          1.160673530          1.160673530        146.584517604         90.000000000        103.611423874        113.927005807        113.927005807        131.255999637        114.515707625        114.515707625          0.000000000        180.000000000        116.834040364       -116.834040364          0.000000000        125.617765069       -125.617765069 
         1.306302000          1.439970557          1.099999964          1.090979772          1.098121024          1.098121024          1.116129143          1.139857563          1.139857563        124.403672232        116.360365945        107.677928450        111.869206809        111.869206809        113.927361325        118.362941009        118.362941009        180.000000000        180.000000000        118.801873223       -118.801873223        180.000000000        118.526101219       -118.526101219 
         1.280215000          1.423779649          1.099999964          1.090961350          1.100674826          1.100674826          1.117110708          1.146481811          1.146481811        136.768870100        116.360365945        107.897685088        111.938330637        111.938330637        120.617804848        117.153601826        117.153601826          0.000000000        180.000000000        118.540655068       -118.540655068          0.000000000        123.451095158       -123.451095158 
         1.566578000          1.434952216          1.100000000          1.091911903          1.100396929          1.100415402          1.115478139          1.160074030          1.160303407        107.835517003         96.850865940        109.755334750        110.583940253        110.573063270        116.488115699        117.782746045        117.749674427        180.000000000        180.000000000        121.461811544       -121.435310250        180.000000000        126.250680601       -126.165411798 
         1.263968000          1.448627779          1.099999639          1.089348934          1.098459445          1.098459445          1.124399640          1.154169373          1.154169373        120.179195236        145.558483550        107.799319170        111.720133145        111.720133145        115.298943301        118.332348572        118.332348572        180.000000000        180.000000000        119.252005782       -119.252005782        180.000000000        118.728331878       -118.728331878 
         1.253025000          1.453861901          1.099999639          1.088199546          1.100528876          1.100528876          1.139820658          1.147224723          1.147224723        120.681581714        145.558483550        108.494162263        111.425055085        111.425055085        115.146017902        118.933489378        118.933489378          0.000000000        180.000000000        119.451394784       -119.451394784          0.000000000        118.736974804       -118.736974804 
         1.386995000          1.430478511          1.100000000          1.093196551          1.098482947          1.098482947          1.111784602          1.154277184          1.154277184        145.297229105         96.850865940        104.440441807        113.584948262        113.584948262        127.560897583        115.282570206        115.282570206          0.000000000        180.000000000        117.005007010       -117.005007010          0.000000000        125.158059198       -125.158059198 
